
Sample ID : D03

Measuring Baseline...
1/30   MQ3=319   MQ135=39
2/30   MQ3=304   MQ135=44
3/30   MQ3=302   MQ135=48
4/30   MQ3=302   MQ135=53
5/30   MQ3=299   MQ135=55
6/30   MQ3=301   MQ135=63
7/30   MQ3=305   MQ135=47
8/30   MQ3=294   MQ135=57
9/30   MQ3=307   MQ135=54
10/30   MQ3=304   MQ135=50
11/30   MQ3=320   MQ135=48
12/30   MQ3=311   MQ135=48
13/30   MQ3=316   MQ135=40
14/30   MQ3=309   MQ135=53
15/30   MQ3=311   MQ135=38
16/30   MQ3=299   MQ135=35
17/30   MQ3=321   MQ135=60
18/30   MQ3=308   MQ135=47
19/30   MQ3=306   MQ135=47
20/30   MQ3=304   MQ135=54
21/30   MQ3=310   MQ135=51
22/30   MQ3=304   MQ135=49
23/30   MQ3=316   MQ135=54
24/30   MQ3=304   MQ135=46
25/30   MQ3=305   MQ135=48
26/30   MQ3=304   MQ135=58
27/30   MQ3=319   MQ135=49
28/30   MQ3=320   MQ135=47
29/30   MQ3=304   MQ135=49
30/30   MQ3=316   MQ135=48

Baseline MQ3 = 308
Baseline MQ135 = 49

INSERT LEAF NOW
Close Box
Waiting 15 minutes...

Time,Sample,Label,Baseline_MQ3,Baseline_MQ135,MQ3,MQ135
0,D03,Diseased,308,49,583,80
1,D03,Diseased,308,49,583,80
2,D03,Diseased,308,49,579,76
3,D03,Diseased,308,49,591,80
4,D03,Diseased,308,49,567,74
5,D03,Diseased,308,49,576,85
6,D03,Diseased,308,49,592,65
7,D03,Diseased,308,49,590,80
8,D03,Diseased,308,49,583,65
9,D03,Diseased,308,49,580,69
10,D03,Diseased,308,49,583,66
11,D03,Diseased,308,49,587,80
12,D03,Diseased,308,49,586,74
13,D03,Diseased,308,49,590,77
14,D03,Diseased,308,49,589,78
15,D03,Diseased,308,49,591,78
16,D03,Diseased,308,49,576,80
17,D03,Diseased,308,49,592,83
18,D03,Diseased,308,49,592,79
19,D03,Diseased,308,49,580,73
20,D03,Diseased,308,49,588,79
21,D03,Diseased,308,49,590,78
22,D03,Diseased,308,49,575,74
23,D03,Diseased,308,49,577,78
24,D03,Diseased,308,49,578,71
25,D03,Diseased,308,49,578,77
26,D03,Diseased,308,49,585,80
27,D03,Diseased,308,49,591,80
28,D03,Diseased,308,49,583,82
29,D03,Diseased,308,49,579,81
30,D03,Diseased,308,49,595,80
31,D03,Diseased,308,49,574,70
32,D03,Diseased,308,49,576,81
33,D03,Diseased,308,49,591,81
34,D03,Diseased,308,49,587,84
35,D03,Diseased,308,49,578,83
36,D03,Diseased,308,49,576,85
37,D03,Diseased,308,49,576,78
38,D03,Diseased,308,49,575,71
39,D03,Diseased,308,49,577,74
40,D03,Diseased,308,49,577,75
41,D03,Diseased,308,49,572,84
42,D03,Diseased,308,49,588,71
43,D03,Diseased,308,49,578,80
44,D03,Diseased,308,49,587,74
45,D03,Diseased,308,49,592,70
46,D03,Diseased,308,49,582,73
47,D03,Diseased,308,49,576,82
48,D03,Diseased,308,49,592,81
49,D03,Diseased,308,49,587,74
50,D03,Diseased,308,49,592,82
51,D03,Diseased,308,49,579,80
52,D03,Diseased,308,49,578,79
53,D03,Diseased,308,49,592,74
54,D03,Diseased,308,49,593,80
55,D03,Diseased,308,49,577,65
56,D03,Diseased,308,49,585,80
57,D03,Diseased,308,49,586,83
58,D03,Diseased,308,49,589,64
59,D03,Diseased,308,49,592,80

====================================
DATA COLLECTION COMPLETED
====================================

Remove Leaf
Ventilate Box

Enter Next Sample ID
